2015/09/21 00:18:56 -0700 837 | 1442819936 | 34826 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/09/21 00:18:56 -0700 845 | 1442819936 | 34826 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2015/09/21 00:20:05 -0700 773 | 1442820005 | 36555 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/09/21 00:20:05 -0700 781 | 1442820005 | 36555 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2015/09/21 00:20:05 -0700 878 | 1442820005 | 66771 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2015/09/21 00:20:15 -0700 983 | 1442820015 | 88372 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
c line: 224
2015/09/21 00:20:15 -0700 991 | 1442820015 | 88372 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2015/09/25 02:20:33 -0700 034 | 1443172833 | 96447 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/09/25 02:20:33 -0700 110 | 1443172833 | 96447 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/09/30 16:43:16 -0700 272 | 1443656596 | 90065 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/09/30 16:43:16 -0700 424 | 1443656596 | 90065 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/10/01 17:51:42 -0700 994 | 1443747102 | 29243 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/10/01 17:51:43 -0700 051 | 1443747103 | 29243 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/10/08 10:37:09 -0700 809 | 1444325829 | 21192 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/10/08 10:37:09 -0700 887 | 1444325829 | 21192 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/10/09 16:53:09 -0700 683 | 1444434789 | 40006 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/10/09 16:53:09 -0700 825 | 1444434789 | 40006 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/10/10 23:05:48 -0700 623 | 1444543548 | 82543 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/10/10 23:05:48 -0700 680 | 1444543548 | 82543 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/10/12 19:07:23 -0700 091 | 1444702043 | 86945 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/10/12 19:07:23 -0700 150 | 1444702043 | 86945 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/10/15 02:12:04 -0700 667 | 1444900324 | 11626 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/10/15 02:12:04 -0700 733 | 1444900324 | 11626 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/10/26 06:59:21 -0700 854 | 1445867961 | 83772 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/10/26 06:59:21 -0700 986 | 1445867961 | 83772 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/10/27 23:55:45 -0700 756 | 1446015345 | 86240 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/10/27 23:55:45 -0700 824 | 1446015345 | 86240 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/10/30 00:15:00 -0700 757 | 1446189300 | 79896 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/10/30 00:15:00 -0700 809 | 1446189300 | 79896 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/01 13:42:03 -0800 107 | 1446414123 | 38612 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/01 13:42:03 -0800 192 | 1446414123 | 38612 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/03 13:00:07 -0800 985 | 1446584407 | 48930 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/03 13:00:08 -0800 053 | 1446584408 | 48930 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/05 20:54:44 -0800 832 | 1446785684 | 7336 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/05 20:54:44 -0800 997 | 1446785684 | 7336 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/08 03:50:42 -0800 584 | 1446983442 | 67488 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/08 03:50:42 -0800 716 | 1446983442 | 67488 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/10 00:13:28 -0800 827 | 1447143208 | 49428 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/10 00:13:28 -0800 930 | 1447143208 | 49428 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/13 01:17:24 -0800 380 | 1447406244 | 86466 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/13 01:17:24 -0800 518 | 1447406244 | 86466 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/14 17:26:31 -0800 855 | 1447550791 | 1526 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/14 17:26:31 -0800 922 | 1447550791 | 1526 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/15 22:12:31 -0800 698 | 1447654351 | 70849 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/15 22:12:31 -0800 800 | 1447654351 | 70849 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/16 23:35:05 -0800 872 | 1447745705 | 76700 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/16 23:35:05 -0800 925 | 1447745705 | 76700 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/18 20:40:30 -0800 864 | 1447908030 | 23393 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/18 20:40:30 -0800 981 | 1447908030 | 23393 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/21 05:20:07 -0800 493 | 1448112007 | 65112 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/21 05:20:07 -0800 576 | 1448112007 | 65112 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/22 23:14:00 -0800 909 | 1448262840 | 80960 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2015/11/22 23:14:00 -0800 984 | 1448262840 | 80960 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
